num_of_user,report_date
34318,2020-01-01
42455,2020-01-02
47460,2020-01-03
37275,2020-01-04
32598,2020-01-05
44601,2020-01-06
42887,2020-01-07
42920,2020-01-08
43301,2020-01-09
45256,2020-01-10
38095,2020-01-11
33677,2020-01-12
46171,2020-01-13
45653,2020-01-14
47183,2020-01-15
49551,2020-01-16
53995,2020-01-17
44271,2020-01-18
36687,2020-01-19
47549,2020-01-20
49187,2020-01-21
47961,2020-01-22
43610,2020-01-23
36568,2020-01-24
34044,2020-01-25
53029,2020-01-26
34868,2020-01-27
34759,2020-01-28
35211,2020-01-29
43173,2020-01-30
43526,2020-01-31
